Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,New Year's Day,New Year's Day,BB,False,True,,Public,
2028-01-21,Errol Barrow Day,Errol Barrow Day,BB,False,True,,Public,
2028-04-14,Good Friday,Good Friday,BB,False,True,,Public,
2028-04-17,Easter Monday,Easter Monday,BB,False,True,,Public,
2028-04-28,National Heroes' Day,National Heroes' Day,BB,False,True,,Public,
2028-05-01,Labour Day,Labour Day,BB,False,True,,Public,
2028-06-05,Whit Monday,Whit Monday,BB,False,True,,Public,
2028-08-01,Emancipation Day,Emancipation Day,BB,False,True,,Public,
2028-08-07,Kadooment Day,Kadooment Day,BB,False,True,,Public,
2028-11-30,Independence Day,Independence Day,BB,False,True,,Public,
2028-12-25,Christmas Day,Christmas Day,BB,False,True,,Public,
2028-12-26,Boxing Day,Boxing Day,BB,False,True,,Public,
