Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,Capodanno,New Year's Day,IT,False,True,,Public,
2027-01-06,Epifania,Epiphany,IT,False,True,,Public,
2027-03-28,Pasqua,Easter Sunday,IT,False,True,,Public,
2027-03-29,Lunedì dell'Angelo,Easter Monday,IT,False,True,,Public,
2027-04-25,Festa della Liberazione,Liberation Day,IT,False,True,,Public,
2027-05-01,Festa del Lavoro,International Workers Day,IT,False,True,,Public,
2027-06-02,Festa della Repubblica,Republic Day,IT,False,True,,Public,
2027-08-15,Ferragosto o Assunzione,Assumption Day,IT,False,True,,Public,
2027-11-01,Tutti i santi,All Saints Day,IT,False,True,,Public,
2027-12-08,Immacolata Concezione,Immaculate Conception,IT,False,True,,Public,
2027-12-25,Natale,Christmas Day,IT,False,True,,Public,
2027-12-26,Santo Stefano,St. Stephen's Day,IT,False,True,,Public,
